[11:07:39] Requirement Extraction Log
------------------------------------------------------------------------
[11:07:39] Started attachment search.
[11:07:39] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments
[11:07:55] Scan progress 1/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[11:08:15] Scan progress 936/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 66% complete | 6 attachments found
[11:08:15] Scan progress 941/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 66% complete | 6 attachments found
[11:08:15] Scan progress 946/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 66% complete | 6 attachments found
[11:08:15] Scan progress 951/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 6 attachments found
[11:08:15] Scan progress 956/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 6 attachments found
[11:08:15] Scan progress 961/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 6 attachments found
[11:08:15] Scan progress 966/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 68% complete | 6 attachments found
[11:08:16] Scan progress 971/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 68% complete | 6 attachments found
[11:08:16] Scan progress 976/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 68% complete | 6 attachments found
[11:08:16] Scan progress 981/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 69% complete | 6 attachments found
[11:08:16] Scan progress 986/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 69% complete | 6 attachments found
[11:08:16] Scan progress 991/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 6 attachments found
[11:08:16] Scan progress 996/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 6 attachments found
[11:08:16] Scan progress 1001/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 6 attachments found
[11:08:16] Scan progress 1006/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 71% complete | 6 attachments found
[11:08:16] Scan progress 1011/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 71% complete | 6 attachments found
[11:08:17] Scan progress 1016/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 71% complete | 6 attachments found
[11:08:17] Scan progress 1021/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 6 attachments found
[11:08:17] Scan progress 1026/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 6 attachments found
[11:08:17] Scan progress 1031/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 6 attachments found
[11:08:17] Scan progress 1036/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 73% complete | 6 attachments found
[11:08:17] Scan progress 1041/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 73% complete | 6 attachments found
[11:08:17] Scan progress 1046/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 73% complete | 6 attachments found
[11:08:17] Scan progress 1051/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 6 attachments found
[11:08:17] Scan progress 1056/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 6 attachments found
[11:08:17] Scan progress 1061/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 6 attachments found
[11:08:18] Scan progress 1066/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 75% complete | 6 attachments found
[11:08:18] Scan progress 1071/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 75% complete | 6 attachments found
[11:08:18] Scan progress 1076/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 6 attachments found
[11:08:18] Scan progress 1081/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 6 attachments found
[11:08:18] Scan progress 1086/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 6 attachments found
[11:08:18] Scan progress 1091/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 77% complete | 6 attachments found
[11:08:18] Scan progress 1096/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 77% complete | 6 attachments found
[11:08:18] Scan progress 1101/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 77% complete | 6 attachments found
[11:08:18] Scan progress 1106/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 78% complete | 6 attachments found
[11:08:19] Scan progress 1111/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 78% complete | 6 attachments found
[11:08:19] Scan progress 1116/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 78% complete | 6 attachments found
[11:08:19] Scan progress 1121/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 6 attachments found
[11:08:19] Scan progress 1126/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 6 attachments found
[11:08:19] Scan progress 1131/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 6 attachments found
[11:08:19] Scan progress 1136/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 80% complete | 6 attachments found
[11:08:19] Scan progress 1141/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 80% complete | 6 attachments found
[11:08:19] Scan progress 1146/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 80% complete | 6 attachments found
[11:08:19] Scan progress 1151/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 81% complete | 6 attachments found
[11:08:20] Scan progress 1156/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 81% complete | 6 attachments found
[11:08:20] Scan progress 1161/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 82% complete | 6 attachments found
[11:08:20] Scan progress 1166/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 82% complete | 6 attachments found
[11:08:20] Scan progress 1171/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 82% complete | 6 attachments found
[11:08:20] Scan progress 1176/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 83% complete | 6 attachments found
[11:08:20] Scan progress 1181/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 83% complete | 6 attachments found
[11:08:20] Scan progress 1186/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 83% complete | 6 attachments found
[11:08:20] Scan progress 1191/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 6 attachments found
[11:08:20] Scan progress 1196/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 6 attachments found
[11:08:21] Scan progress 1201/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 6 attachments found
[11:08:21] Scan progress 1206/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 85% complete | 6 attachments found
[11:08:21] Scan progress 1211/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 85% complete | 6 attachments found
[11:08:21] Scan progress 1216/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 85% complete | 6 attachments found
[11:08:21] Scan progress 1221/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 6 attachments found
[11:08:21] Scan progress 1226/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 6 attachments found
[11:08:21] Scan progress 1231/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 6 attachments found
[11:08:21] Scan progress 1236/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 87% complete | 6 attachments found
[11:08:21] Scan progress 1241/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 87% complete | 6 attachments found
[11:08:22] Scan progress 1246/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 88% complete | 6 attachments found
[11:08:22] Scan progress 1251/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 88% complete | 6 attachments found
[11:08:22] Scan progress 1256/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 88% complete | 6 attachments found
[11:08:22] Scan progress 1261/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 6 attachments found
[11:08:22] Scan progress 1266/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 6 attachments found
[11:08:22] Scan progress 1271/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 6 attachments found
[11:08:22] Scan progress 1276/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 6 attachments found
[11:08:22] Scan progress 1281/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 6 attachments found
[11:08:22] Scan progress 1286/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 6 attachments found
[11:08:22] Scan progress 1291/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 91% complete | 6 attachments found
[11:08:23] Scan progress 1296/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 91% complete | 6 attachments found
[11:08:23] Scan progress 1301/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 91% complete | 6 attachments found
[11:08:23] Scan progress 1306/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 92% complete | 6 attachments found
[11:08:23] Scan progress 1311/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 92% complete | 6 attachments found
[11:08:23] Scan progress 1316/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 6 attachments found
[11:08:23] Scan progress 1321/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 6 attachments found
[11:08:23] Scan progress 1326/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 6 attachments found
[11:08:23] Scan progress 1331/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 94% complete | 6 attachments found
[11:08:23] Scan progress 1336/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 94% complete | 6 attachments found
[11:08:23] Scan progress 1341/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 94% complete | 6 attachments found
[11:08:24] Scan progress 1346/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 6 attachments found
[11:08:24] Scan progress 1351/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 6 attachments found
[11:08:24] Scan progress 1356/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 6 attachments found
[11:08:24] Scan progress 1361/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 6 attachments found
[11:08:24] Scan progress 1366/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 6 attachments found
[11:08:24] Scan progress 1371/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 6 attachments found
[11:08:24] Scan progress 1376/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 97% complete | 6 attachments found
[11:08:24] Scan progress 1381/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 97% complete | 6 attachments found
[11:08:24] Scan progress 1386/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 97% complete | 6 attachments found
[11:08:25] Scan progress 1391/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 98% complete | 6 attachments found
[11:08:25] Scan progress 1396/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 98% complete | 6 attachments found
[11:08:25] Scan progress 1401/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 6 attachments found
[11:08:25] Scan progress 1406/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 6 attachments found
[11:08:25] Scan progress 1411/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 6 attachments found
[11:08:25] Scan progress 1415/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 100% complete | 6 attachments found
[11:08:25] Found 6 attachment(s).
[11:08:35] Started fast deterministic extraction for attachment 19830718 (946-4C45-001A (3).pdf).
[11:08:35] Selection proof: DisplayName='946-4C45-001A (3).pdf', AttachmentId=19830718, ItemId=0
[11:08:35] 📥 Downloading selected attachment '946-4C45-001A (3).pdf'...
[11:08:35] 🔎 Extracting raw text from selected attachment...
[11:08:50] Fast extraction complete: 0 candidate(s) found.
[11:08:50] Requirement Candidates: none extracted from selected source document.
[11:08:50] ⚠️ No requirement-like clauses were found in the selected attachment.
[11:09:22] Exporting analysis logs to diagnostics report.
