[13:35:45] Requirement Extraction Log
------------------------------------------------------------------------
[13:35:45] Started attachment search.
[13:35:45] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | direct query
[13:35:46] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | item scan
[13:37:53] Scan progress 734/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 54% complete | 5 attachments found
[13:37:54] Scan progress 738/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 54% complete | 5 attachments found
[13:37:55] Scan progress 742/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 5 attachments found
[13:37:55] Scan progress 746/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 5 attachments found
[13:37:56] Scan progress 750/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 5 attachments found
[13:37:56] Scan progress 754/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 55% complete | 5 attachments found
[13:37:57] Scan progress 758/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 56% complete | 5 attachments found
[13:37:58] Scan progress 761/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 56% complete | 5 attachments found
[13:37:58] Scan progress 765/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 56% complete | 5 attachments found
[13:37:59] Scan progress 769/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 57% complete | 5 attachments found
[13:37:59] Scan progress 773/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 57% complete | 5 attachments found
[13:38:00] Scan progress 777/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 57% complete | 5 attachments found
[13:38:01] Scan progress 781/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 57% complete | 5 attachments found
[13:38:01] Scan progress 785/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 58% complete | 5 attachments found
[13:38:02] Scan progress 789/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 58% complete | 5 attachments found
[13:38:02] Scan progress 793/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 58% complete | 5 attachments found
[13:38:03] Scan progress 797/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 59% complete | 5 attachments found
[13:38:04] Scan progress 801/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 59% complete | 5 attachments found
[13:38:04] Scan progress 805/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 59% complete | 5 attachments found
[13:38:05] Scan progress 809/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 5 attachments found
[13:38:06] Scan progress 813/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 5 attachments found
[13:38:06] Scan progress 817/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 5 attachments found
[13:38:07] Scan progress 821/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 60% complete | 5 attachments found
[13:38:07] Scan progress 825/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 61% complete | 5 attachments found
[13:38:08] Scan progress 828/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 61% complete | 5 attachments found
[13:38:09] Scan progress 832/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 61% complete | 5 attachments found
[13:38:09] Scan progress 836/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 5 attachments found
[13:38:10] Scan progress 840/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 5 attachments found
[13:38:10] Scan progress 844/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 5 attachments found
[13:38:11] Scan progress 848/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 62% complete | 5 attachments found
[13:38:12] Scan progress 852/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 63% complete | 5 attachments found
[13:38:12] Scan progress 856/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 63% complete | 5 attachments found
[13:38:13] Scan progress 860/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 63% complete | 5 attachments found
[13:38:14] Scan progress 864/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 64% complete | 5 attachments found
[13:38:14] Scan progress 868/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 64% complete | 5 attachments found
[13:38:15] Scan progress 872/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 64% complete | 5 attachments found
[13:38:15] Scan progress 876/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 5 attachments found
[13:38:16] Scan progress 880/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 5 attachments found
[13:38:17] Scan progress 884/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 5 attachments found
[13:38:17] Scan progress 888/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 65% complete | 5 attachments found
[13:38:18] Scan progress 891/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 66% complete | 5 attachments found
[13:38:18] Scan progress 895/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 66% complete | 5 attachments found
[13:38:19] Scan progress 899/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 66% complete | 5 attachments found
[13:38:20] Scan progress 903/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 5 attachments found
[13:38:20] Scan progress 907/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 5 attachments found
[13:38:21] Scan progress 911/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 5 attachments found
[13:38:22] Scan progress 915/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 67% complete | 5 attachments found
[13:38:22] Scan progress 919/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 68% complete | 5 attachments found
[13:38:23] Scan progress 923/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 68% complete | 5 attachments found
[13:38:23] Scan progress 927/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 68% complete | 5 attachments found
[13:38:24] Scan progress 931/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 69% complete | 5 attachments found
[13:38:25] Scan progress 935/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 69% complete | 5 attachments found
[13:38:25] Scan progress 939/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 69% complete | 5 attachments found
[13:38:26] Scan progress 943/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 5 attachments found
[13:38:26] Scan progress 947/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 5 attachments found
[13:38:27] Scan progress 951/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 5 attachments found
[13:38:28] Scan progress 955/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 70% complete | 5 attachments found
[13:38:28] Scan progress 958/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 71% complete | 5 attachments found
[13:38:29] Scan progress 962/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 71% complete | 5 attachments found
[13:38:29] Scan progress 966/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 71% complete | 5 attachments found
[13:38:30] Scan progress 970/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 5 attachments found
[13:38:31] Scan progress 974/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 5 attachments found
[13:38:31] Scan progress 978/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 5 attachments found
[13:38:32] Scan progress 982/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 72% complete | 5 attachments found
[13:38:33] Scan progress 986/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 73% complete | 5 attachments found
[13:38:33] Scan progress 990/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 73% complete | 5 attachments found
[13:38:34] Scan progress 994/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 73% complete | 5 attachments found
[13:38:35] Scan progress 998/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 5 attachments found
[13:38:35] Scan progress 1002/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 5 attachments found
[13:38:36] Scan progress 1006/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 5 attachments found
[13:38:36] Scan progress 1010/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 74% complete | 5 attachments found
[13:38:37] Scan progress 1014/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 75% complete | 5 attachments found
[13:38:38] Scan progress 1018/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 75% complete | 5 attachments found
[13:38:38] Scan progress 1021/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 75% complete | 5 attachments found
[13:38:39] Scan progress 1025/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 5 attachments found
[13:38:39] Scan progress 1029/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 5 attachments found
[13:38:40] Scan progress 1033/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 5 attachments found
[13:38:41] Scan progress 1037/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 76% complete | 5 attachments found
[13:38:41] Scan progress 1041/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 77% complete | 5 attachments found
[13:38:42] Scan progress 1045/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 77% complete | 5 attachments found
[13:38:42] Scan progress 1049/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 77% complete | 5 attachments found
[13:38:43] Scan progress 1053/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 78% complete | 5 attachments found
[13:38:44] Scan progress 1057/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 78% complete | 5 attachments found
[13:38:44] Scan progress 1061/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 78% complete | 5 attachments found
[13:38:45] Scan progress 1065/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 5 attachments found
[13:38:46] Scan progress 1069/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 5 attachments found
[13:38:46] Scan progress 1073/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 5 attachments found
[13:38:47] Scan progress 1077/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 79% complete | 5 attachments found
[13:38:47] Scan progress 1081/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 80% complete | 5 attachments found
[13:38:48] Scan progress 1085/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 80% complete | 5 attachments found
[13:38:49] Scan progress 1088/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 80% complete | 5 attachments found
[13:38:49] Scan progress 1092/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 81% complete | 5 attachments found
[13:38:50] Scan progress 1096/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 81% complete | 5 attachments found
[13:38:50] Scan progress 1100/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 81% complete | 5 attachments found
[13:38:51] Scan progress 1104/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 81% complete | 5 attachments found
[13:38:52] Scan progress 1108/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 82% complete | 5 attachments found
[13:38:52] Scan progress 1112/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 82% complete | 5 attachments found
[13:38:53] Scan progress 1116/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 82% complete | 5 attachments found
[13:38:54] Scan progress 1120/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 83% complete | 5 attachments found
[13:38:54] Scan progress 1124/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 83% complete | 5 attachments found
[13:38:55] Scan progress 1128/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 83% complete | 5 attachments found
[13:38:55] Scan progress 1132/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 5 attachments found
[13:38:56] Scan progress 1136/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 5 attachments found
[13:38:57] Scan progress 1140/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 5 attachments found
[13:38:57] Scan progress 1144/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 84% complete | 5 attachments found
[13:38:58] Scan progress 1148/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 85% complete | 5 attachments found
[13:38:58] Scan progress 1152/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 85% complete | 5 attachments found
[13:38:59] Scan progress 1155/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 85% complete | 5 attachments found
[13:39:00] Scan progress 1159/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 5 attachments found
[13:39:00] Scan progress 1163/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 5 attachments found
[13:39:01] Scan progress 1167/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 5 attachments found
[13:39:01] Scan progress 1171/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 86% complete | 5 attachments found
[13:39:02] Scan progress 1175/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 87% complete | 5 attachments found
[13:39:03] Scan progress 1179/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 87% complete | 5 attachments found
[13:39:03] Scan progress 1183/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 87% complete | 5 attachments found
[13:39:04] Scan progress 1187/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 88% complete | 5 attachments found
[13:39:05] Scan progress 1191/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 88% complete | 5 attachments found
[13:39:05] Scan progress 1195/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 88% complete | 5 attachments found
[13:39:06] Scan progress 1199/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 5 attachments found
[13:39:06] Scan progress 1203/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 5 attachments found
[13:39:07] Scan progress 1207/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 5 attachments found
[13:39:08] Scan progress 1211/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 89% complete | 5 attachments found
[13:39:08] Scan progress 1215/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 5 attachments found
[13:39:09] Scan progress 1219/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 5 attachments found
[13:39:10] Scan progress 1223/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 5 attachments found
[13:39:10] Scan progress 1225/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 90% complete | 5 attachments found
[13:39:11] Scan progress 1229/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 91% complete | 5 attachments found
[13:39:11] Scan progress 1233/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 91% complete | 5 attachments found
[13:39:12] Scan progress 1237/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 91% complete | 5 attachments found
[13:39:13] Scan progress 1241/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 92% complete | 5 attachments found
[13:39:13] Scan progress 1245/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 92% complete | 5 attachments found
[13:39:14] Scan progress 1249/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 92% complete | 5 attachments found
[13:39:14] Scan progress 1253/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 5 attachments found
[13:39:15] Scan progress 1257/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 5 attachments found
[13:39:16] Scan progress 1261/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 5 attachments found
[13:39:16] Scan progress 1265/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 93% complete | 5 attachments found
[13:39:17] Scan progress 1269/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 94% complete | 5 attachments found
[13:39:18] Scan progress 1273/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 94% complete | 5 attachments found
[13:39:18] Scan progress 1277/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 94% complete | 5 attachments found
[13:39:19] Scan progress 1281/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 5 attachments found
[13:39:19] Scan progress 1284/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 5 attachments found
[13:39:20] Scan progress 1288/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 5 attachments found
[13:39:20] Scan progress 1290/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 95% complete | 5 attachments found
[13:39:21] Scan progress 1294/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 5 attachments found
[13:39:22] Scan progress 1298/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 5 attachments found
[13:39:22] Scan progress 1302/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 5 attachments found
[13:39:23] Scan progress 1306/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 96% complete | 5 attachments found
[13:39:24] Scan progress 1310/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 97% complete | 5 attachments found
[13:39:24] Scan progress 1314/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 97% complete | 5 attachments found
[13:39:25] Scan progress 1318/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 97% complete | 5 attachments found
[13:39:25] Scan progress 1322/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 98% complete | 5 attachments found
[13:39:26] Scan progress 1326/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 98% complete | 5 attachments found
[13:39:27] Scan progress 1330/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 98% complete | 5 attachments found
[13:39:27] Scan progress 1334/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 5 attachments found
[13:39:28] Scan progress 1338/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 5 attachments found
[13:39:29] Scan progress 1342/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 5 attachments found
[13:39:29] Scan progress 1346/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 99% complete | 5 attachments found
[13:39:29] Scan progress 1347/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 100% complete | 5 attachments found
[13:39:30] Found 5 attachment(s).
[13:54:40] Exporting analysis logs to diagnostics report.
